id_local;id_osm;code_com;coordonneesxy;capacite;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;source;date_maj
node/3940114267;node/3940114267;42218;[4.3865148,45.45119870041893];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114268;node/3940114268;42218;[4.3866891,45.45122370041891];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114269;node/3940114269;42218;[4.3867433,45.4512618004189];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114270;node/3940114270;42218;[4.3868320999999995,45.45127480041891];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114271;node/3940114271;42218;[4.387275999999999,45.451303700418904];18;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114274;node/3940114274;42218;[4.3874388,45.45132400041889];18;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114276;node/3940114276;42218;[4.3867009,45.4513789004189];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114279;node/3940114279;42218;[4.3868192,45.45139550041888];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3972053187;node/3972053187;42218;[4.3988079,45.44062110042022];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;03/03/2021
node/3972090502;node/3972090502;42218;[4.3894161,45.45966670041787];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/01/2016
node/3972090503;node/3972090503;42218;[4.388334899999999,45.46015320041781];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/01/2016
node/3973879662;node/3973879662;42218;[4.3926184,45.42571160042203];12;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;23/08/2016
node/4080189087;node/4080189087;42218;[4.3818301,45.44288720041993];20;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/03/2016
node/4080189691;node/4080189691;42218;[4.3809197,45.44334730041987];6;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/03/2016
node/4193587273;node/4193587273;42218;[4.3975755,45.473157700416195];10;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;18/05/2016
