Nombre de délibération,COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL
71,Saint-etienne metropole (SEM),24420077000117,2022.00038,2022-01-27,,,SYNDICAT MIXTE D’AMENAGEMENT DES GORGES DE LA LOIRE - MODIFICATION DES STATUTS,2022,,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
72,Saint-etienne metropole (SEM),24420077000117,2022.00029,2022-01-27,,,PLAN LOCAL D’URBANISME (PLU) DE VILLARS - MODIFICATION SIMPLIFIEE N°2- MODALITES DE MISE A DISPOSITION DU PUBLIC,2022,INVESTISEMENT 2022 PROSPECTIVE DESTINATION PLANIFICATION,PREF042,2022-01-28,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
73,Saint-etienne metropole (SEM),24420077000117,2022.00051,2022-01-27,,,TRAVAUX D’EXTENSION DE RESEAUX TELECOM – « PROPRIETE FORLINI » RUE DES VIGNES - COMMUNE DE FARNAY - ATTRIBUTION D’UN FONDS DE CONCOURS AU SIEL,2022,VOIRIE,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
74,Saint-etienne metropole (SEM),24420077000117,2022.00027,2022-01-27,,,PLAN LOCAL D’URBANISME (PLU) DE L’HORME - APPROBATION DE LA MODIFICATION SIMPLIFIEE N°4,2022,INVESTISEMENT 2022 PROSPECTIVE DESTINATION PLANIFICATION,PREF042,2022-01-28,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
75,Saint-etienne metropole (SEM),24420077000117,2022.00032,2022-01-27,,,BUDGET 2022 - DEBAT D'ORIENTATION BUDGETAIRE - APPROBATION,2022,,PREF042,2022-02-08,123,95,95,10,3,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
76,Saint-etienne metropole (SEM),24420077000117,2022.00031,2022-01-27,,,RAPPORT DE DEVELOPPEMENT DURABLE 2021,2022,,PREF042,2022-02-08,123,108,,,,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
77,Saint-etienne metropole (SEM),24420077000117,2022.00055,2022-01-27,,,TRAVAUX D’EXTENSION DE RESEAU ELECTRIQUE BASSE TENSION « BOURG DE MARCENOD » COMMUNE DE MARCENOD - ATTRIBUTION D’UN FONDS DE CONCOURS AU SIEL,2022,VOIRIE,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
78,Saint-etienne metropole (SEM),24420077000117,2022.00049,2022-01-27,,,TRAVAUX D’EXTENSION DE RESEAUX BASSE TENSION – « PROPRIETE BARRELON » ALLEE DES PLATANES COMMUNE DE LA TERRASSE-SUR-DORLAY - ATTRIBUTION D’UN FONDS DE CONCOURS AU SIEL,2022,VOIRIE,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
79,Saint-etienne metropole (SEM),24420077000117,2022.00035,2022-01-27,,,DUREE D’AMORTISSEMENT DES IMMOBILISATIONS DES BUDGETS PARCS ET AIRES DE STATIONNEMENT,2022,PARCS ET AIRES DE STATIONNEMENT EN RÉGIE,PREF042,2022-02-08,123,93,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
80,Saint-etienne metropole (SEM),24420077000117,2022.00052,2022-01-27,,,TRAVAUX DE DISSIMULATION DE RESEAUX – GRANDE RUE SAINT-ENNEMOND COMMUNE DE SAINT-CHAMOND - ATTRIBUTION D’UN FONDS DE CONCOURS AU SIEL,2022,VOIRIE,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
